date,crvusd_collateral,crvusd_debt,crvusd_loans,crvusd_rate,pegkeeper_debt,pegkeeper_pool_liquidity,crvusd_total_supply,aave_usdc_rate,aave_usdt_rate,aave_avg_rate,binance_eth_rate,binance_btc_rate,binance_avg_rate,scrvusd_apy,scrvusd_crvusd_supply,scrvusd_supply,scrvusd_virtual_price,resupply_crvusd
2023-10-29,220022421.056173,125107036.326096,917,0.0557799585770725,1190040.91396224,77414338.0350585,126297077.240058,0,0,0,0,0,0,0,0,0,0,
2023-10-30,222942573.512339,126808751.161349,926,0.0584868463375497,1190040.91396224,77450686.4735061,127998792.075311,0,0,0,0,0,0,0,0,0,0,
2023-10-31,223288421.027863,124979232.997952,933,0.0607830053822092,318056.268602252,74860048.0733115,125297289.266554,0,0,0,0,0,0,0,0,0,0,
2023-11-01,221258457.45235,123292967.458476,941,0.0611080565527445,318056.268602252,70699031.835484,123611023.727078,0,0,0,0,0,0,0,0,0,0,
2023-11-02,218822024.343678,120533742.117831,939,0.0495730962331925,318056.268602252,70102458.2242676,120851798.386433,0,0,0,0,0,0,0,0,0,0,
2023-11-03,219721365.052755,125977673.465315,947,0.0187887056827581,13641153.4074958,83553961.5222255,139618826.87281,0,0,0,0,0,0,0,0,0,0,
2023-11-04,227983344.909114,127727811.075681,959,0.0219639247442771,13117058.661025,87560279.6122633,140844869.736706,0,0,0,0,0,0,0,0,0,0,
2023-11-05,222725731.608164,123425657.697939,975,0.0369145689471803,10253600.7932568,84731024.5204689,133679258.491196,0,0,0,0,0,0,0,0,0,0,
2023-11-06,229183454.268631,126825302.999143,991,0.0431861431561412,4978560.9330764,77084065.3575701,131803863.932219,0,0,0,0,0,0,0,0,0,0,
2023-11-07,231702187.106796,130097416.110991,999,0.0439449915528708,4978560.9330764,78695857.4380453,135075977.044067,0,0,0,0,0,0,0,0,0,0,
2023-11-08,232115428.291503,129282632.69304,1004,0.0436121842074259,4978560.9330764,79695052.2813616,134261193.626116,0,0,0,0,0,0,0,0,0,0,
2023-11-09,239786217.090183,130674679.016383,1009,0.0447367069456572,4978560.9330764,78900023.0672073,135653239.949459,0,0,0,0,0,0,0,0,0,0,
2023-11-10,264681289.944093,141195359.535332,1013,0.0475105831727284,4978560.9330764,78861569.3052797,146173920.468409,0,0,0,0,0,0,0,0,0,0,
2023-11-11,268728518.157445,147163155.156679,1021,0.0481766525225308,4369284.88474046,88826843.5932886,151532440.041419,0,0,0,0,0,0,0,0,0,0,
2023-11-12,269497492.675172,149772312.492505,1032,0.0486841405653001,4369284.88474046,88702049.3720364,154141597.377245,0,0,0,0,0,0,0,0,0,0,
2023-11-13,272531115.013873,151467846.300154,1046,0.0513243406107059,4369284.88474046,80368351.1744157,155837131.184894,0,0,0,0,0,0,0,0,0,0,
2023-11-14,266252458.471386,151821797.89502,1053,0.0525677815316955,4030789.46559196,80300021.8479714,155852587.360612,0,0,0,0,0,0,0,0,0,0,
2023-11-15,262113551.510609,152286530.010733,1054,0.0535463562930456,3117570.14311063,79178267.5456315,155404100.153844,0,0,0,0,0,0,0,0,0,0,
2023-11-16,274913297.145212,153544485.904979,1054,0.0664142937931604,229895.003224293,76087962.9759384,153774380.908203,0,0,0,0,0,0,0,0,0,0,
2023-11-17,258538989.841537,153196075.790061,1055,0.0661065051023087,6383.94162512351,75857991.2682219,153202459.731687,0,0,0,0,0,0,0,0,0,0,
2023-11-18,259516960.738211,154824248.635388,1064,0.0674149355460456,6383.94162512351,75786283.5929736,154830632.577013,0,0,0,0,0,0,0,0,0,0,
2023-11-19,266193675.020527,157641841.431992,1072,0.0698834008785943,6383.94162512351,75786334.7298294,157648225.373617,0,0,0,0,0,0,0,0,0,0,
2023-11-20,280228342.810674,158843220.808068,1078,0.0752533651073387,6383.94162512351,75636343.8848167,158849604.749693,0,0,0,0,0,0,0,0,0,0,
2023-11-21,269651285.01518,157075173.863196,1074,0.0778947666651832,6383.94162512351,73172236.6556487,157081557.804821,0,0,0,0,0,0,0,0,0,0,
2023-11-22,261894754.090696,157261744.53533,1069,0.0774436014683019,0,71858398.0115354,157261744.53533,0,0,0,0,0,0,0,0,0,0,
2023-11-23,264805258.4608,153747668.521564,1064,0.0787061037075785,0,72894612.9495781,153747668.521564,0,0,0,0,0,0,0,0,0,0,
2023-11-24,271264791.230691,154113922.969915,1071,0.074567128371326,0,75518065.2662841,154113922.969915,0,0,0,0,0,0,0,0,0,0,
2023-11-25,273082003.584559,155717466.989495,1071,0.0737439501934601,0,75475847.5443229,155717466.989495,0,0,0,0,0,0,0,0,0,0,
2023-11-26,272809963.394645,156428541.90314,1074,0.0738889339859266,0,76042108.1142753,156428541.90314,0,0,0,0,0,0,0,0,0,0,
2023-11-27,265282494.14232,156139327.592543,1074,0.073044662801111,0,75863545.5702261,156139327.592543,0,0,0,0,0,0,0,0,0,0,
2023-11-28,258433896.985512,152589151.634392,1066,0.11167205565978,0,75573721.4493358,152589151.634392,0,0,0,0,0,0,0,0,0,0,
